C12.758.820.968	disease_gene	10
C13.351.937.820.945	disease_gene	10
C04.588.945.947.960	disease_gene	10
C13.351.968.829.707	disease_gene	10
C12.777.829.813	disease_gene	10
C24.900	disease_gene	15
C10.886.425.200	disease_gene	15
C10.281.800	disease_gene	15
C23.888.592.796	disease_gene	15
C10.574.500.495.200	disease_gene	16
C16.131.666.300.200	disease_gene	16
C10.500.300.200	disease_gene	16
C16.320.400.375.200	disease_gene	16
C10.668.829.800.300.200	disease_gene	16
C16.320.565.398.500.330.750	disease_gene	19
C18.452.648.398.500.330.750	disease_gene	19
C10.668.829.800.875	disease_gene	19
C18.452.584.562	disease_gene	19
C18.452.584.500.875.330.750	disease_gene	19
C08.381.719	disease_gene	21
C15.378.071.419	disease_gene	22
C15.378.190.625.070	disease_gene	22
C19.874.283.605	disease_gene	23
C20.111.555	disease_gene	23
C19.874.397.370	disease_gene	23
C11.675.349.500	disease_gene	23
C17.300.480	disease_gene	23
C20.111.590	disease_gene	23
C11.768.585.658.500	disease_gene	24
C16.320.290.684	disease_gene	24
C11.768.585.439	disease_gene	24
C11.270.684	disease_gene	24
C11.270.612	disease_gene	24
C15.378.190.636.370	disease_gene	25
C04.557.337.539.250	disease_gene	25
C14.280.647.250.260	disease_gene	28
C04.588.274.761	disease_gene	28
C14.907.137.126.339	disease_gene	28
C14.907.585.250.260	disease_gene	28
C19.344.421	disease_gene	28
C14.907.355.590.700	disease_gene	28
C06.301.761	disease_gene	28
C14.907.355.830.925	disease_gene	28
C06.689.667	disease_gene	28
C04.588.322.475	disease_gene	28
C18.452.648.100.614	disease_gene	34
C18.452.660.612	disease_gene	34
C16.320.565.100.614	disease_gene	34
C18.452.648.100.614	disease_gene	35
C18.452.660.612	disease_gene	35
C16.320.565.100.614	disease_gene	35
C18.452.648.100.614	disease_gene	36
C18.452.660.612	disease_gene	36
C16.320.565.100.614	disease_gene	36
C18.452.648.100.614	disease_gene	37
C18.452.660.612	disease_gene	37
C16.320.565.100.614	disease_gene	37
C16.320.565.798.368	disease_gene	40
C05.550.114.423	disease_gene	40
C05.550.354.500	disease_gene	40
C17.300.775	disease_gene	40
C05.799.414	disease_gene	40
C18.452.648.798.368	disease_gene	40
C16.320.565.663.100	disease_gene	51
C18.452.648.663.100	disease_gene	51
C10.574.500.490	disease_gene	51
C16.320.400.525.124	disease_gene	51
C19.053.500.270	disease_gene	51
C18.452.132.100.362.250	disease_gene	51
C16.320.565.189.084	disease_gene	51
C18.452.648.189.362.250	disease_gene	51
C10.314.400.250	disease_gene	51
C16.320.565.189.362.250	disease_gene	51
C10.228.140.163.100.084	disease_gene	51
C10.228.140.695.625.250	disease_gene	51
C16.320.322.500.124	disease_gene	51
C18.452.132.100.084	disease_gene	51
